k,rho,method,Better,Worse,Power,FP,Better2,Worse2,Power2,FDR2,mean_mBIC,sd_mBIC,sem_mBIC,mean_mBIC2,sd_mBIC2,sem_mBIC2,Runtime
0,0.8,stepwise_reduced,0,0,0.0,0.022,0,0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.1345620665550232
0,0.8,stepwise_ff,0,2,0.0,0.022,0,2,0.0,0.022,0.003980860500439356,0.06929361295614234,0.003098904579529888,0.003980860500439356,0.06929361295614234,0.003098904579529888,0.5745648860931396
0,0.8,L0opt_CD,0,0,0.0,0.022,0,0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.21687347650527955
0,0.8,L0opt_CDPSI,0,0,0.0,0.022,0,0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,2.4552687339782713
0,0.8,lassonet,0,0,0.0,0.022,0,0,0.0,0.022,-2.2222224060897123e-15,4.6489998906692534e-14,2.079095956585108e-15,-2.2222224060897123e-15,4.6489998906692534e-14,2.079095956585108e-15,10.302706580638885
0,0.8,lassonet_plus,0,0,0.0,0.022,0,0,0.0,0.022,-2.2222224060897123e-15,4.6489998906692534e-14,2.079095956585108e-15,-2.2222224060897123e-15,4.6489998906692534e-14,2.079095956585108e-15,11.10769730424881
0,0.8,deep2stage,0,11,0.0,0.002,0,11,0.0,0.0,0.03701697423377444,0.2991698432801461,0.013379282127847307,0.0466388760913376,0.4343914864260214,0.01942657784991522,10.882055305480957
10,0.0,stepwise_plain,0,0,0.8545999999999999,0.05,0,0,0.8768,0.052851437451437486,0.0,0.0,0.0,0.0,0.0,0.0,5.1861551976203915
10,0.0,stepwise_reduced,0,188,0.8092,0.02,0,274,0.8192,0.02292366522366521,10.775605662793614,22.984243237329903,1.0278866058011897,13.602213233807886,25.31548045581377,1.1321427036453389,0.903135087966919
10,0.0,stepwise_ff,0,0,0.8545999999999999,0.05,1,5,0.8774,0.05366889776889781,-7.048583938740194e-15,5.871013057839063e-14,2.6255968588234097e-15,0.004649989333590611,0.07361078073611824,0.0032919741920558474,1.879687903881073
10,0.0,L0opt_CD,1,0,0.8550000000000001,0.05,12,0,0.8774,0.05753616938616942,-0.0034052035993238404,0.07614266725308425,0.003405203599320871,-0.027744514253706255,0.2505999787944762,0.01120717175488909,0.21607124996185303
10,0.0,L0opt_CDPSI,1,0,0.8550000000000001,0.05,12,0,0.8774,0.05753616938616942,-0.0034052035993238404,0.07614266725308425,0.003405203599320871,-0.027744514253706255,0.2505999787944762,0.01120717175488909,1.8218398361206054
10,0.0,lassonet,1,45,0.8512000000000001,0.042,3,152,0.8694000000000001,0.03833981573981572,0.21100499342705484,0.9299511781305837,0.041588681001120016,0.6911231135310224,1.561373513659344,0.0698267462961998,11.986890208244324
